"totalListings" "totalTickets" "minQuantity" "maxQuantity" "mapDisplayType" "eventid" "timestamp"
660 1610 1 11 "section" 9220595 "03-13-2015_06.00.20"
655 1552 1 11 "section" 9220596 "03-13-2015_06.00.28"
607 1486 1 11 "section" 9220597 "03-13-2015_06.00.32"
655 1602 1 11 "section" 9220595 "03-13-2015_12.00.01"
654 1540 1 11 "section" 9220596 "03-13-2015_12.00.09"
601 1472 1 11 "section" 9220597 "03-13-2015_12.00.15"
644 1581 1 11 "section" 9220595 "03-13-2015_18.00.01"
651 1538 1 11 "section" 9220596 "03-13-2015_18.00.20"
600 1474 1 11 "section" 9220597 "03-13-2015_18.00.40"
640 1570 1 11 "section" 9220595 "03-14-2015_00.00.07"
652 1540 1 11 "section" 9220596 "03-14-2015_00.00.16"
601 1473 1 11 "section" 9220597 "03-14-2015_00.00.23"
640 1570 1 11 "section" 9220595 "03-14-2015_06.00.01"
651 1538 1 11 "section" 9220596 "03-14-2015_06.00.20"
602 1475 1 11 "section" 9220597 "03-14-2015_06.00.53"
638 1579 1 11 "section" 9220595 "03-14-2015_12.00.48"
671 1597 1 11 "section" 9220596 "03-14-2015_12.01.05"
620 1530 1 11 "section" 9220597 "03-14-2015_12.01.10"
657 1627 1 11 "section" 9220595 "03-14-2015_18.00.01"
678 1616 1 11 "section" 9220596 "03-14-2015_18.00.13"
628 1554 1 11 "section" 9220597 "03-14-2015_18.00.31"
661 1632 1 11 "section" 9220595 "03-15-2015_00.00.01"
683 1625 1 11 "section" 9220596 "03-15-2015_00.00.11"
629 1553 1 11 "section" 9220597 "03-15-2015_00.00.22"
661 1632 1 11 "section" 9220595 "03-15-2015_06.00.01"
683 1625 1 11 "section" 9220596 "03-15-2015_06.00.14"
629 1553 1 11 "section" 9220597 "03-15-2015_06.00.21"
673 1652 1 11 "section" 9220595 "03-15-2015_12.00.01"
697 1653 1 11 "section" 9220596 "03-15-2015_12.00.11"
640 1581 1 11 "section" 9220597 "03-15-2015_12.00.16"
674 1655 1 11 "section" 9220595 "03-15-2015_18.00.08"
700 1655 1 11 "section" 9220596 "03-15-2015_18.00.15"
642 1581 1 11 "section" 9220597 "03-15-2015_18.00.22"
668 1619 1 8 "section" 9220595 "03-16-2015_00.00.01"
695 1620 1 10 "section" 9220596 "03-16-2015_00.00.08"
636 1550 1 10 "section" 9220597 "03-16-2015_00.00.13"
671 1626 1 8 "section" 9220595 "03-16-2015_06.00.01"
700 1632 1 10 "section" 9220596 "03-16-2015_06.00.05"
